-4312   \bar{\Xi}_{c}^{\prime0}
4232    \Xi_{c}^{+}
-4232   \bar{\Xi}_{c}^{-}
4224    \Sigma_{c}^{*++}
-4224   \bar{\Sigma}_{c}^{*--}
4222    \Sigma_{c}^{++}
-4222   \bar{\Sigma}_{c}^{--}
4214    \Sigma_{c}^{*+}
-4214   \bar{\Sigma}_{c}^{*-}
4212    \Sigma_{c}^{+}
-4212   \bar{\Sigma}_{c}^{-}
415     D_{2}^{*+}
-415    D_{2}^{*-}
4132    \Xi_{c}^{0}
-4132   \bar{\Xi}_{c}^{0}
4122    \Lambda_{c}^{+}
-4122   \bar{\Lambda}_{c}^{-}
4114    \Sigma_{c}^{*0}
-4114   \bar{\Sigma}_{c}^{*0}
4112    \Sigma_{c}^{0}
-4112   \bar{\Sigma}_{c}^{0}
30343   X_{sd}
-30343  \bar{X}_{sd}
300553  \Upsilon(4S)
20433   D_{s1}^{\prime+}
-20433  D_{s1}^{\prime-}
20413   D_{1}^{\prime+}
-20413  D_{1}^{\prime-}
10433   D_{s1}^{+}
-10433  D_{s1}^{-}
10431   D_{s0}^{*+}
-10431  D_{s0}^{*-}
10413   D_{1}^{+}
-10413  D_{1}^{-}
10411   D_{0}^{*+}
-10411  D_{0}^{*-}
9000111 a_{0}^{0}
9000211 a_{0}^{+}
-9000211 a_{0}^{-}
10421   D_{0}^{*0}
-10421  \bar{D}_{0}^{*0}
10423	D_{1}^{0}
-10423  \bar{D}_{1}^{0}
20423   D_{1}^{\prime0}
-20423  \bar{D}_{1}^{\prime0}
30353   X_{su}
-30353  \bar{X}_{su}
425     D_{2}^{*0}
-425    \bar{D}_{2}^{*0}
43      X_{u}^{0}
521     B^{+}
-521    B^{-}
-30323  K^{\prime\prime*-}
30221   f_{0}^{\prime}
