1	-1
-1	1
2	2
-2	-2
3	-1
-3	1
4	2
-4	-2
5	-1
-5	1
6	2
-6	-2
7	-1
-7	1
8	2
-8	-2
21	0
11	-3
-11	3
12	0
-12	0
13	-3
-13	3
14	0
-14	0
15	-3
-15	3
16	0
-16	0
17	-3
-17	3
18	0
-18	0
22	0
-22	0
10022	0
90022	0
80022	0
20022	0
23	0
24	3
-24	-3
25	0
28	0
29	0
32	0
33	0
34	3
-34	-3
35	0
36	0
37	3
-37	-3
40	0
-40	0
41	0
42	+3
-42	-3
81	0
82	0
-82	0
83	0
84	2
-84	-2
85	-1
-85	1
86	2
-86	-2
87	-1
-87	1
88	2
-88	-2
89	3
-89	-3
90	0
-90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
111	0
211	3
-211	-3
210	3
-210	-3
20111	0
20211	3
-20211	-3
221	0
20221	0
331	0
113	0
110	0
213	3
-213	-3
30113	0
30213	3
-30213	-3
40113	0
40213	3
-40213	-3
-9040213	-3
9040213	3
-9040113	0
223	0
220	0
30223	0
333	0
330	0
10111	0
10211	3
-10211	-3
9000221	0
9010221	0
10221	0
10113	0
10213	3
-10213	-3
10223	0
10333	0
20113	0
20213	3
-20213	-3
20223	0
115	0
215	3
-215	-3
225	0
30221	0
50221	0
335	0
9020221	0
100331	0
10335	0
10331	0
229	0
20333	0
8888888	0
9000223	0
9050225	0
9070225	0
9070221	0
9020225	0
9040225	0
9080221	0
9040221	0
9999999	0
311	0
-311	0
310	0
130	0
321	3
-321	-3
313	0
-313	0
323	3
-323	-3
9000311	0
-9000311	0
9000321	3
-9000321	-3
10311	0
-10311	0
10321	3
-10321	-3
10313	0
-10313	0
10323	3
-10323	-3
315	0
-315	0
325	3
-325	-3
20313	0
-20313	0
20323	3
-20323	-3
100313	0
-100313	0
100323	3
-100323	-3
30313	0
-30313	0
30323	3
-30323	-3
10315	0
-10315	0
10325	3
-10325	-3
317	0
-317	0
327	3
-327	-3
319	0
-319	0
329	3
-329	-3
9060221	0
411	3
-411	-3
421	0
-421	0
422	0
-422	0
413	3
-413	-3
423	0
-423	0
10411	3
-10411	-3
10421	0
-10421	0
10413	3
-10413	-3
10423	0
-10423	0
415	3
-415	-3
425	0
-425	0
20413	3
-20413	-3
20423	0
-20423	0
431	3
-431	-3
433	3
-433	-3
10431	3
-10431	-3
10433	3
-10433	-3
435	3
-435	-3
20433	3
-20433	-3
30411	3
-30411	-3
30421	0
-30421	0
30413	3
-30413	-3
30423	0
-30423	0
511	0
-511	0
150	0
510	0
521	3
-521	-3
513	0
-513	0
523	3
-523	-3
10511	0
-10511	0
10521	3
-10521	-3
10513	0
-10513	0
10523	3
-10523	-3
515	0
-515	0
525	3
-525	-3
20513	0
-20513	0
20523	3
-20523	-3
531	0
-531	0
350	0
530	0
533	0
-533	0
10531	0
-10531	0
10533	0
-10533	0
535	0
-535	0
20533	0
-20533	0
541	3
-541	-3
543	3
-543	-3
10541	3
-10541	-3
10543	3
-10543	-3
545	3
-545	-3
20543	3
-20543	-3
441	0
20441	0
443	0
440	0
100443	0
30443	0
9000443	0
9010443	0
9030443	0
9040443	0
