-4214	anti-Sigma_c*-
4222	Sigma_c++
-4222	anti-Sigma_c--
4224	Sigma_c*++
-4224	anti-Sigma_c*--
4312	Xi'_c0
-4312	anti-Xi'_c0
4322	Xi'_c+
-4322	anti-Xi'_c-
4324	Xi_c*+
-4324	anti-Xi_c*-
4122	Lambda_c+
-4122	anti-Lambda_c-
4132	Xi_c0
-4132	anti-Xi_c0
4232	Xi_c+
-4232	anti-Xi_c-
4314	Xi_c*0
-4314	anti-Xi_c*0
4332	Omega_c0
-4332	anti-Omega_c0
4334	Omega_c*0
-4334	anti-Omega_c*0
5112	Sigma_b-
-5112	anti-Sigma_b+
5114	Sigma_b*-
-5114	anti-Sigma_b*+
5122	Lambda_b0
-5122	anti-Lambda_b0
5132	Xi_b-
-5132	anti-Xi_b+
5212	Sigma_b0
-5212	anti-Sigma_b0
5214	Sigma_b*0
-5214	anti-Sigma_b*0
5222	Sigma_b+
-5222	anti-Sigma_b-
5224	Sigma_b*+
-5224	anti-Sigma_b*-
5232	Xi_b0
-5232	anti-Xi_b0
5312	Xi'_b-
-5312	anti-Xi'_b+
5314	Xi_b*-
-5314	anti-Xi_b*+
5322	Xi'_b0
-5322	anti-Xi'_b0
5324	Xi_b*0
-5324	anti-Xi_b*0
5332	Omega_b-
-5332	anti-Omega_b+
5334	Omega_b*-
-5334	anti-Omega_b*+
1101	dd_0
-1101	anti-dd_0
2101	ud_0
-2101	anti-ud_0
2201	uu_0
-2201	anti-uu_0
3101	sd_0
-3101	anti-sd_0
3201	su_0
-3201	anti-su_0
3301	ss_0
-3301	anti-ss_0
4101	cd_0
-4101	anti-cd_0
4201	cu_0
-4201	anti-cu_0
4301	cs_0
-4301	anti-cs_0
4401	cc_0
-4401	anti-cc_0
5101	bd_0
-5101	anti-bd_0
5201	bu_0
-5201	anti-bu_0
5301	bs_0
-5301	anti-bs_0
5401	bc_0
-5401	anti-bc_0
5501	bb_0
-5501	anti-bb_0
1103	dd_1
-1103	anti-dd_1
2103	ud_1
-2103	anti-ud_1
2203	uu_1
-2203	anti-uu_1
3103	sd_1
-3103	anti-sd_1
3203	su_1
-3203	anti-su_1
3303	ss_1
-3303	anti-ss_1
4103	cd_1
-4103	anti-cd_1
4203	cu_1
-4203	anti-cu_1
4303	cs_1
-4303	anti-cs_1
4403	cc_1
-4403	anti-cc_1
5103	bd_1
-5103	anti-bd_1
5203	bu_1
-5203	anti-bu_1
5303	bs_1
-5303	anti-bs_1
5403	bc_1
-5403	anti-bc_1
5503	bb_1
-5503	anti-bb_1
1011	deuteron
-1011	anti-deuteron
1021	tritium
-1021	anti-tritium
1012	He3
-1012	anti-He3
1022	alpha
-1022	anti-alpha
100	geantino
101	chargedgeantino
30343	Xsd
-30343	anti-Xsd
30353	Xsu
-30353	anti-Xsu
30373	Xdd
-30373	anti-Xdd
30383	Xdu
-30383	anti-Xdu
30363	Xss
-30363	anti-Xss
51	dummy00_1
52	dummy10_1
53	dummy01_1
54	dummy11_1
-51	anti-dummy00_1
-52	anti-dummy10_1
-53	anti-dummy01_1
-54	anti-dummy11_1
55	dummy00_2
56	dummy10_2
57	dummy01_2
58	dummy11_2
-55	anti-dummy00_2
-56	anti-dummy10_2
-57	anti-dummy01_2
-58	anti-dummy11_2
61	chi_c0p
62	chi_c1p
63	chi_c2p
64	X3940
65	Y3940
66	xvpho
67	eta_c2
300553  Upsilon(4S)
100441  eta_c(2S)
44      Xu+
-44     Xu-
9000111 a_00
9000211 a_0+
-9000211 a_0-
43	Xu0
100113  rho(2S)0
